"id","node","node_status","serial_number","dev_eui","latitude","longitude"
161,"F16A1266","ONLINE","2008DFA006711","a67740be12b7899d","35.098652","-106.670992"
276,"F17B374","ONLINE","2008DFA006736","db9198edb323fe18","35.080064","-106.648792"
479,"DECA0711","ONLINE","2008DFA006713","a670bcc6f8f16050","35.098068","-106.669431"
240,"F17B382","ONLINE","2008DFA006802","a790789add2eda4c","35.080752","-106.652992"
673,"F16D303","ONLINE","2008DFA001421","63d91cbfb3859a7d","35.08892","-106.652078"
732,"7e03cc373e8d54ab","ONLINE","2102DFA007638","7e03cc373e8d54ab","35.070192","-106.712208"
666,"F16D246","ONLINE","2008DFA001411","7b8cb05c6ecc0bc6","35.088","-106.649904"
634,"F16D211","ONLINE","2006DFA004482","649d902027d26e0e","35.086799","-106.652237"
657,"F16D272","ONLINE","2008DFA001364","c8ad4c8fb54441dd","35.087446","-106.652377"
520,"db5ee81e40ee9cd2","ONLINE","2008DFA006948","db5ee81e40ee9cd2","35.077192","-106.532192"
178,"F16A1269","ONLINE","2008DFA006668","a67b5cb18a8f7bc2","35.097908","-106.671095"
653,"F16D299","ONLINE","2008DFA001323","c8b59c22f6ab9f59","35.089096","-106.650874"
638,"F16D259","ONLINE","2006DFA004496","649e94230dfee8da","35.088506","-106.653208"
652,"F16D296","ONLINE","2008DFA001317","c8ac607f68748d1b","35.089104","-106.649897"
665,"F16D253","ONLINE","2008DFA001393","63daecec5cf44900","35.088369","-106.652034"
358,"F16D1391","ONLINE","2008DFA006653","1a30b083d147661e","35.08404","-106.649168"
630,"F16D266","ONLINE","2006DFA004465","649df80facf09ad4","35.086942","-106.6522"
49,"688cd4426df1461d","ONLINE","2008DFA003468","688cd4426df1461d","35.077332","-106.53244"
205,"DECA0704","ONLINE","2008DFA006776","a78ce0e6ada825f9","35.09756","-106.6704"
55,"63dd4c18d38858be","ONLINE","2008DFA003482","63dd4c18d38858be","35.076592","-106.532432"
497,"F16D701","ONLINE","2008DFA003944","63e13003a86b2554","35.08928","-106.647088"
56,"F16D1467","ONLINE","2008DFA004019","dcd81c0d6779f044","35.08516","-106.65272"
79,"F16D483","ONLINE","2008DFA006464","dbd760b2be99b002","35.081132","-106.6482"
41,"6876e8b0d585b98d","ONLINE","2008DFA003473","6876e8b0d585b98d","35.07814","-106.5324"
31,"a62df4164d107d4a","ONLINE","2008DFA003379","a62df4164d107d4a","35.07308","-106.53252"
11,"a62de4c31c203880","ONLINE","2008DFA003390","a62de4c31c203880","35.076212","-106.532464"
13,"63e148f7fef15205","ONLINE","2008DFA003454","63e148f7fef15205","35.079288","-106.532376"
639,"F16D254-5G","ONLINE","2006DFA004497","649f5045388035f9","35.08816","-106.65204"
9,"63de606e5fdca60e","ONLINE","2008DFA003394","63de606e5fdca60e","35.07426","-106.532512"
44,"687c7017a3a8e892","ONLINE","2008DFA003470","687c7017a3a8e892","35.0794","-106.532208"
50,"63dd74aeda96cb4d","ONLINE","2008DFA003485","63dd74aeda96cb4d","35.079732","-106.532432"
662,"F16D248","ONLINE","2008DFA001382","63da40e3261c9648","35.088154","-106.650134"
664,"F16D289","ONLINE","2008DFA001391","7b74f80a1e582535","35.088422","-106.649549"
334,"DECA0705","ONLINE","2008DFA006772","a7904002f0951371","35.096872","-106.670432"
659,"F16D242","ONLINE","2008DFA001378","63db3031a5a7b6d1","35.08815","-106.64982"
292,"DECA0718","ONLINE","2008DFA003970","3f57103766c1d047","35.094241","-106.669524"
14,"a63014f608cd5b28","ONLINE","2008DFA003387","a63014f608cd5b28","35.079868","-106.532112"
222,"F16D267","ONLINE","2008DFA004002","3dd06485d3be6311","35.086788","-106.651667"
219,"F16D397","ONLINE","2008DFA004000","687df0d2d34a3e42","35.090953","-106.64988"
20,"a77de8ed81272ae9","ONLINE","2008DFA003371","a77de8ed81272ae9","35.078268","-106.532184"
76,"F16C761","ONLINE","2008DFA006489","db8604c5a869b819","35.08252","-106.654536"
323,"a6309089d2daf084","ONLINE","2008DFA003979","a6309089d2daf084","35.087331","-106.648538"
723,"654bc84e813398f7","ONLINE","2007DFA003055","654bc84e813398f7","35.101908","-106.646296"
38,"7b88104f9a79ec48","ONLINE","2008DFA003477","7b88104f9a79ec48","35.076888","-106.532472"
279,"F16D207","ONLINE","2008DFA004010","a77dc8f4fe608224","35.08582","-106.652576"
704,"687314e6b6d23a9c","ONLINE","2007DFA003026","687314e6b6d23a9c","35.101892","-106.64676"
57,"F16D1468","ONLINE","2008DFA004017","db67101996ac9923","35.084868","-106.652812"
758,"a6dc046f9377a42b","ONLINE","2012DFA009214","a6dc046f9377a42b","35.10192","-106.647232"
258,"a648a8606b660ae2","ONLINE","2008DFA004039","a648a8606b660ae2","35.08732","-106.648432"
267,"F16D855","ONLINE","2008DFA004030","dd309cc4b636b435","35.090658","-106.647643"
633,"F16D257","ONLINE","2006DFA004470","6828ecc96c10ef50","35.088323","-106.652838"
269,"1a1aac77346d1e88","ONLINE","2008DFA006747","1a1aac77346d1e88","35.0719","-106.708296"
301,"F16D294","ONLINE","2008DFA004027","a63bc88b853b486f","35.088939","-106.649693"
465,"F16A1273","ONLINE","2008DFA006396","dba92cbbef4629c6","35.095494","-106.671449"
487,"DECA0714","ONLINE","2008DFA006707","a790f83ddacc9796","35.095872","-106.669416"
661,"F16D249","ONLINE","2008DFA001381","646d3c992f5531d1","35.088241","-106.6508"
340,"DECA3619","ONLINE","2008DFA004033","a6451c6cbbd94ba2","35.07454","-106.532272"
632,"F16D255","ONLINE","2006DFA004469","649d2c3802ab18ac","35.088292","-106.652296"
644,"F16d230","ONLINE","2006DFA004502","7527a0f3b27129bc","35.086578","-106.649896"
23,"63d97cf88d893804","ONLINE","2008DFA003505","63d97cf88d893804","35.100972","-106.646344"
232,"DECA3615","ONLINE","2008DFA004008","7b4e64fd756686f8","35.084043","-106.648408"
469,"DECA3616","ONLINE","2008DFA003890","3dd618baee7bc569","35.084188","-106.64822"
582,"E17A1068","ONLINE","2010DFA006039","6ad23c8a054177c6","35.076772","-106.69592"
284,"DECA3618","ONLINE","2008DFA003999","687da4a707b3961a","35.074972","-106.532248"
287,"DECA3617","ONLINE","2008DFA003992","687face10096f1cf","35.07532","-106.532224"
627,"F16D231","ONLINE","2006DFA004453","649f80dcb4c6407a","35.086613","-106.650538"
326,"DECA3614","ONLINE","2008DFA003961","687c805cef5ac39b","35.084196","-106.648415"
539,"DECA0549","ONLINE","2008DFA006978","a645dcf6b91c51c1","35.081144","-106.657008"
282,"DECA3613","ONLINE","2008DFA004021","a63724c2c62a0150","35.084054","-106.648592"
235,"E17A1097_1","ONLINE","2008DFA006484","dba91c2447c95d85","35.07502","-106.696408"
462,"F16A307","ONLINE","2008DFA006551","a676c40cc9aa4537","35.095102","-106.669421"
130,"DECA3394","ONLINE","2008DFA003864","a638fc0a86597eb2","35.084825","-106.654522"
132,"DECA3396","ONLINE","2008DFA003859","63d8906720998d03","35.084822","-106.654293"
651,"F16D250","ONLINE","2008DFA001224","db6afc189b400423","35.088151","-106.651016"
573,"E17A1063","ONLINE","2010DFA006026","6b1388801c52764a","35.076568","-106.69472"
127,"DECA3388","ONLINE","2008DFA003853","687d58507bde08e9","35.084892","-106.655086"
43,"63df40198cf2357e","ONLINE","2008DFA003471","63df40198cf2357e","35.08472","-106.653408"
468,"DECA0720","ONLINE","2008DFA006729","3f485478483cb7ed","35.094768","-106.669456"
193,"F16A298","ONLINE","2008DFA006373","dc8da8873a02d57c","35.09776","-106.66948"
587,"F16D862","ONLINE","2008DFA003954","63dda84769d3f129","35.09059","-106.647075"
294,"DECA3383","ONLINE","2008DFA003969","dc3a880b8b9f6569","35.08496","-106.655512"
210,"DECA3382","ONLINE","2008DFA003922","6884c0d80000dbcd","35.084993","-106.655749"
598,"63e0c058d191cecf","ONLINE","2008DFA003941","63e0c058d191cecf","35.091827","-106.658401"
113,"F16D375","ONLINE","2008DFA003894","a64df8b35145aa88","35.091232","-106.652176"
645,"Comanche-Contactor","ONLINE","2006DFA004503","649d8c638a8a3696","35.123972","-106.620696"
154,"F16D399","ONLINE","2008DFA003900","3df8f0ab248aa617","35.090804","-106.64878"
601,"E17A1062","ONLINE","2010DFA006059","6a6878883eec5185","35.07674","-106.693912"
203,"DECA1373","ONLINE","2008DFA006792","dc5b901aad39cd94","35.081188","-106.656544"
151,"F16D374","ONLINE","2008DFA003786","7b883cb3cfde598d","35.091315","-106.65302"
221,"F17B376","ONLINE","2008DFA006726","7b92f470f10150ea","35.080171","-106.649739"
561,"F16D858","ONLINE","2008DFA003978","db88b4abd956c760","35.090117","-106.648016"
642,"F16D256","ONLINE","2006DFA004500","649d703e2acfe07b","35.088408","-106.652584"
533,"F16D356","ONLINE","2008DFA003980","6def2ccb2081ff17","35.089588","-106.65056"
589,"63dd286e80b2d031","ONLINE","2008DFA003957","63dd286e80b2d031","35.091688","-106.657544"
470,"DECA0636","ONLINE","2008DFA006725","5b19a0c240f27d68","35.098425","-106.669404"
655,"F15D252","ONLINE","2008DFA001359","6ddcb0516b04a0f5","35.088278","-106.651194"
191,"DECA3552","ONLINE","2008DFA003892","64dd8089b4c466f2","35.084732","-106.653683"
441,"DECA3557","ONLINE","2008DFA003823","7b8a6c7744c560fa","35.084648","-106.653096"
529,"F16D860","ONLINE","2008DFA003983","63dd5c32177bd28d","35.089642","-106.648074"
591,"F17A611","ONLINE","2008DFA006972","a672a08080454ce7","35.080776","-106.6542"
195,"DECA0723","ONLINE","2008DFA006204","a63364078275c3a9","35.09563","-106.669347"
200,"DECA0703","ONLINE","2008DFA006724","19f2fce3c7bc895b","35.098172","-106.670448"
315,"F16D269","ONLINE","2008DFA003996","a62d6409082cd002","35.08669","-106.65187"
139,"F16D378","ONLINE","2008DFA003817","687d409200cb10bc","35.09104","-106.650552"
268,"DECA0004","ONLINE","2008DFA003912","7b8c785a41e9a75e","35.085023","-106.656005"
537,"E17B7454_1","ONLINE","2008DFA006449","a67188aec0df2e6d","35.07592","-106.6928"
505,"F16C1110","ONLINE","2008DFA003940","63e1400c87a54325","35.091385","-106.654504"
94,"F16D121","ONLINE","2008DFA006677","a630c8f5ee37c0ac","35.0832","-106.650368"
530,"DECA0550","ONLINE","2008DFA006741","db41b8574b37a7d8","35.081089","-106.656616"
513,"DECA0551","ONLINE","2008DFA006816","a645d0fa980ec760","35.081033","-106.656128"
382,"F16D390","ONLINE","2008DFA003520","7b8a68bea3f05dcf","35.090892","-106.650307"
456,"DECA3399","ONLINE","2008DFA003902","63e17446b909bd2e","35.08474","-106.653918"
608,"6dee648e063509e3","ONLINE","2008DFA003921","6dee648e063509e3","35.091542","-106.656864"
182,"DECA0005","ONLINE","2008DFA003930","63e14c17d2b0a7b7","35.085005","-106.655848"
553,"F16D388","ONLINE","2008DFA003977","a77d304cff39d411","35.090487","-106.650401"
90,"F16D392","ONLINE","2008DFA003510","63de306659238ab7","35.089747","-106.649293"
498,"a77dc05d4fbf675c","ONLINE","2008DFA003966","a77dc05d4fbf675c","35.086144","-106.652577"
640,"F16d270","ONLINE","2006DFA004498","4b15e043102f34e1","35.086564","-106.651316"
324,"F16D262","ONLINE","2008DFA003514","6876e04f1ec02a9b","35.08724","-106.653424"
559,"F16D702","ONLINE","2008DFA003973","a77bec21b3a8c2e1","35.089342","-106.648144"
372,"dbf4c4b260db6fb5","ONLINE","2008DFA006482","dbf4c4b260db6fb5","35.08368","-106.652424"
434,"F16D241","ONLINE","2008DFA003857","7b8cbc0a289667df","35.088301","-106.64837"
346,"F16D364","ONLINE","2008DFA003460","689318fbba9047ee","35.090138","-106.651857"
551,"F16D293","ONLINE","2008DFA003981","63e044d532dd7e38","35.089019","-106.649365"
2,"E17C564","ONLINE","2008DFA006958","dba20ceedbf67d91","35.06998","-106.70768"
271,"DECA0003","ONLINE","2008DFA003914","6538287c294a4f31","35.08504","-106.656146"
290,"DECA3556","ONLINE","2008DFA003848","687cdc0f978e3b20","35.084674","-106.653288"
93,"F16D359","ONLINE","2008DFA003527","7b87e8219565b50a","35.089552","-106.65312"
81,"F16D1607","ONLINE","2008DFA003536","7b8c7cf9045cc9f1","35.085521","-106.65183"
583,"E17A1100","ONLINE","2010DFA006035","6ad1504c9a0622a4","35.07626","-106.696768"
374,"F16D221","ONLINE","2008DFA003535","7b8c849d34aaaa0d","35.085383","-106.650606"
125,"F16C1109","ONLINE","2008DFA003868","dbc8fc93382f942d","35.091338","-106.653569"
352,"F17B378","ONLINE","2008DFA006638","1a178cd42b1be33f","35.080498","-106.650984"
707,"7b949c00b6e48cb8","ONLINE","2007DFA003033","7b949c00b6e48cb8","35.098032","-106.648824"
30,"a63300dc4e288da1","ONLINE","2008DFA003370","a63300dc4e288da1","35.101008","-106.647488"
565,"E17A1064","ONLINE","2010DFA006051","6a652c53e86b4283","35.07556","-106.694368"
628,"F16D1372","ONLINE","2006DFA004454","64a11c23bedc79c4","35.086647","-106.650874"
172,"F16A299","ONLINE","2008DFA006696","6873c00bad532924","35.097468","-106.669488"
718,"7b94d0b81fec829b","ONLINE","2007DFA003057","7b94d0b81fec829b","35.097728","-106.646952"
110,"F16D377","ONLINE","2008DFA003897","d9ab74fd900acf8b","35.091138","-106.651422"
379,"F16D395","ONLINE","2008DFA003518","63e0c48f6166a3b7","35.090616","-106.649325"
238,"F17A741","ONLINE","2008DFA006807","a632788a9899c1cc","35.080683","-106.653432"
734,"7e073ce85e4c9056","ONLINE","2102DFA007618","7e073ce85e4c9056","35.074712","-106.702816"
226,"F17B368","ONLINE","2008DFA006698","a78e7431d31574ba","35.08104","-106.648728"
410,"F16D1581","ONLINE","2008DFA003785","688668747e64a1bb","35.08697","-106.648806"
166,"F16A1272","ONLINE","2008DFA006680","6de734e161c93bb9","35.095844","-106.671467"
524,"F16D295","ONLINE","2008DFA003989","687f0843f321dcff","35.089161","-106.649584"
133,"F16D291","ONLINE","2008DFA003862","63e0104d717786b4","35.088725","-106.649495"
415,"F16D376-5G","POWER LOSS","2008DFA003895","5b2398b0ae0d13d5","35.091181","-106.651762"
596,"E17A1061","ONLINE","2010DFA006068","6ad19810f8913484","35.07578","-106.693648"
641,"F16D274","ONLINE","2006DFA004499","649d881b3c8ba0b3","35.087706","-106.652135"
496,"F16D1324","ONLINE","2008DFA003968","dc7d407667ca9c41","35.087908","-106.648432"
59,"F16D369","ONLINE","2008DFA003511","7b8b2487cc89f587","35.09037","-106.650549"
317,"DECA1372","ONLINE","2008DFA006801","3e9a68d6265aefa7","35.08124","-106.6562"
594,"687d18e153fec663","ONLINE","2008DFA003945","687d18e153fec663","35.091487","-106.65626"
347,"F16D396","ONLINE","2008DFA003503","63d9a006faf855f7","35.090777","-106.649103"
756,"a71a9cc861fde8b9","ONLINE","2012DFA009213","a71a9cc861fde8b9","35.10394","-106.647592"
64,"F17B1200","ONLINE","2008DFA006647","a63d084cc8a5298d","35.080428","-106.650136"
742,"7f4b5c86bba15bc1","ONLINE","2102DFA007583","7f4b5c86bba15bc1","35.07688","-106.712824"
217,"DECA1374","ONLINE","2008DFA006760","dd31e446d6441291","35.081264","-106.656998"
760,"a739907002cb86d6","ONLINE","2012DFA008135","a739907002cb86d6","35.0741","-106.713728"
717,"68b0a869cad5aed8","ONLINE","2007DFA003056","68b0a869cad5aed8","35.09898","-106.647912"
701,"68b04c66b6679a88","ONLINE","2007DFA003018","68b04c66b6679a88","35.098672","-106.645568"
715,"68715cfd5e119378","ONLINE","2007DFA003054","68715cfd5e119378","35.09768","-106.646424"
733,"cc5bbcc77eb0c734","ONLINE","2102DFA007640","cc5bbcc77eb0c734","35.08568","-106.651448"
735,"cc555890d0cac874","ONLINE","2102DFA007617","cc555890d0cac874","35.07106","-106.712088"
744,"7a35346f06cc8cb7","ONLINE","2102DFA007564","7a35346f06cc8cb7","35.073232","-106.713024"
749,"7a35181086b8eba9","ONLINE","2102DFA007538","7a35181086b8eba9","35.07628","-106.713312"
32,"63d96cf1546c8f1a","ONLINE","2008DFA003504","63d96cf1546c8f1a","35.10096","-106.647048"
688,"63bcfc8bbafbeae2","ONLINE","2007DFA002862","63bcfc8bbafbeae2","35.09894","-106.646824"
700,"654b68bd24e42c65","ONLINE","2007DFA003010","654b68bd24e42c65","35.09882","-106.64624"
737,"7bc448b6adecec45","ONLINE","2102DFA007605","7bc448b6adecec45","35.072528","-106.712672"
690,"a892b0dfd77081a8","ONLINE","2007DFA003028","a892b0dfd77081a8","35.097948","-106.648296"
710,"654f80cf1a81a45e","ONLINE","2007DFA003037","654f80cf1a81a45e","35.09782","-106.647528"
693,"654a40bec1dcff54","ONLINE","2007DFA003020","654a40bec1dcff54","35.09682","-106.645712"
570,"63dcb01e1fc041eb","ONLINE","2008DFA003963","63dcb01e1fc041eb","35.086955","-106.648578"
236,"F16D305","ONLINE","2008DFA006624","686eec5cc8cf59e4","35.089088","-106.65325"
564,"F16D391","ONLINE","2008DFA003967","a632e0db2791f299","35.089629","-106.649518"
389,"F16d355","ONLINE","2008DFA003509","687c64bf64732e88","35.089289","-106.650765"
359,"F16D371","ONLINE","2008DFA003550","687cf0c44da6927a","35.091198","-106.652747"
22,"63d8f89ee91be182","ONLINE","2008DFA002862","63d8f89ee91be182","35.0847","-106.652992"
698,"654b3c9cc8bc2cab","ONLINE","2007DFA002929","654b3c9cc8bc2cab","35.09758","-106.64592"
576,"E17A1020","ONLINE","2010DFA006017","6a685c1841fc2b36","35.0754","-106.70208"
517,"E17A1067","ONLINE","2010DFA006034","6ad0dcac8ccb159e","35.076388","-106.69576"
563,"F16D368","ONLINE","2008DFA003971","63e1246ca10fd816","35.090249","-106.650417"
730,"b4e12c8f37235929","ONLINE","2102DFA007630","b4e12c8f37235929","35.080328","-106.65048"
555,"E17A1019","ONLINE","2010DFA006066","6ad194f748cd10aa","35.075192","-106.702976"
371,"F16D204","ONLINE","2008DFA003540","687c60f636a81549","35.085599","-106.651479"
386,"F17B371","ONLINE","2008DFA006682","3f00e8b15b9b38fc","35.080376","-106.649805"
635,"F16D1457","ONLINE","2006DFA004491","649e40cd77ceeff2","35.08784","-106.652264"
518,"F17A610","ONLINE","2008DFA006950","dc20ace76fb6bfe9","35.080908","-106.65412"
376,"F16D200","ONLINE","2008DFA003533","689074bf05c835e9","35.085762","-106.652814"
61,"F16D367","ONLINE","2008DFA003515","63de6c63695a9cba","35.090089","-106.650632"
366,"F16C904","ONLINE","2008DFA003542","688cfcd495a2caac","35.08576","-106.653658"
585,"E17A1098","ONLINE","2010DFA006037","6ad0948afb3fe0d8","35.07566","-106.69656"
412,"F16D854","ONLINE","2008DFA003898","6884e07ae09e9412","35.090739","-106.648171"
321,"F16D263","ONLINE","2008DFA003512","7b87d41e2a780718","35.087","-106.65272"
514,"E17A1101","ONLINE","2010DFA006032","6a66ac1f494bcb5e","35.076548","-106.697032"
124,"F16D243","ONLINE","2008DFA003847","68804826a68bdfc4","35.086652","-106.64868"
92,"F16D354","ONLINE","2008DFA003508","687c58af5d4a24ba","35.089362","-106.649365"
297,"E17A1023_1","ONLINE","2008DFA004029","a638c0afcad665d2","35.0741","-106.701736"
605,"5b1fd4f5032a0c1b","ONLINE","2008DFA003935","5b1fd4f5032a0c1b","35.089768","-106.647032"
519,"F16D856","ONLINE","2008DFA003995","687df82b6a888066","35.090609","-106.647925"
351,"F16C909","ONLINE","2008DFA003501","688ce062a7f2efde","35.087712","-106.653507"
392,"F16D201","ONLINE","2008DFA003507","7b87fc89ec669fc2","35.085518","-106.652692"
629,"F16D1373","ONLINE","2006DFA004455","64a15c9ad6d08a73","35.086723","-106.651422"
353,"687c0439b58fb983","ONLINE","2008DFA003488","687c0439b58fb983","35.08652","-106.652448"
586,"E17A1006","ONLINE","2010DFA005997","68cf9cddfb09230b","35.07636","-106.712792"
380,"F16C913","ONLINE","2008DFA003531","687c90483771de07","35.086533","-106.653568"
558,"E17A994","ONLINE","2010DFA006057","6a6830b046ea16f0","35.072668","-106.70232"
531,"F16D864","ONLINE","2008DFA003947","63e00c3edd06daaf","35.09016","-106.646848"
88,"F16D208","ONLINE","2008DFA003529","687c4c9b28070121","35.0864","-106.652392"
70,"F16C912","ONLINE","2008DFA003545","687e90b26d614d79","35.0869","-106.65376"
543,"E17A1003","ONLINE","2010DFA006022","6a65a0a5a7d88470","35.07786","-106.71084"
80,"F16D394","ONLINE","2008DFA003517","6890f0022b5faaf3","35.090372","-106.649136"
398,"F16D1280","ONLINE","2008DFA003863","7b4d84b7ca751509","35.090518","-106.646429"
361,"F16C911","ONLINE","2008DFA003546","63d9fc36defccb35","35.087031","-106.653488"
385,"F16D358","ONLINE","2008DFA003526","6890c84393e6c207","35.089793","-106.651776"
384,"F16D205","ONLINE","2008DFA003522","63e0900d34f992e8","35.085608","-106.652439"
541,"F16D699","ONLINE","2008DFA003985","7b8a78c9e72cdbf1","35.08904","-106.648144"
86,"F16C771","ONLINE","2008DFA006689","dbaa08b648a2d3e3","35.082082","-106.656747"
